age,gender,university,program,year,cgpa,study_hours,attendance,assignment_stress,exam_count,sleep_hours,social_media,physical_activity,part_time_job,screen_time,financial_stress,social_support,stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,stress_q6,stress_q7,stress_q8,stress_q9,stress_q10,academic_life_satisfaction,biggest_stress_reason,thought_break,career_stress,academic_performance,stress_q4_rev,stress_q5_rev,stress_q7_rev,stress_q8_rev,stress_score,stress_level
17-19,Female,Tribhuvan University,BSc CSIT,2nd Year,3.0–3.49,3–4,71–80%,3,1-2,5–6,3–4 hours,3–4 days/week,No,6–8 hours,2,3,2,2,2,3,3,3,2,5,2,3,3,Board exams,Rarely,2,4,3,3,4,1,25,Moderate
20-22,Female,Agriculture and Forestry University,Agriculture,3rd Year,3.5–4.0,5–6,81–90%,3,More than 6,5–6,1–2 hours,3–4 days/week,Yes,3–5 hours,4,3,4,3,2,3,3,3,3,2,3,3,3,Family expectations to get good grades,Often,3,4,3,3,3,4,31,Moderate
Above 25,Female,Kathmandu University,BSc Nursing,4th Year,3.0–3.49,1–2,71–80%,2,More than 6,7–8,3–4 hours,5–6 days/week,No,More than 8 hours,2,3,3,2,2,3,4,3,3,4,3,2,2,Internal assessments and assignments piling up together,Rarely,3,4,3,2,3,2,25,Moderate
20-22,Male,Kathmandu University,BDS,2nd Year,3.5–4.0,5–6,60–70%,2,1-2,7–8,Less than 1 hour,1–2 days/week,No,3–5 hours,3,4,1,2,2,3,4,1,4,5,2,2,3,"Exams, because the whole year's result depends on the final board exam",Never,3,5,3,2,2,1,18,Low
23-25,Female,Kathmandu University,MBBS,5th Year,3.5–4.0,5–6,71–80%,2,3-4,7–8,5–6 hours,3–4 days/week,No,More than 8 hours,3,5,2,2,3,3,3,3,3,4,3,3,5,Too many assignments and lab reports with the same deadline,Rarely,3,4,3,3,3,2,27,Moderate
Above 25,Female,Tribhuvan University,BSc Nursing,4th Year,2.5–2.99,1–2,60–70%,3,3-4,5–6,1–2 hours,3–4 days/week,No,3–5 hours,3,3,5,3,3,3,3,2,3,4,3,3,2,Unsure about future after graduation,Sometimes,4,4,3,3,3,2,30,Moderate
23-25,Male,Tribhuvan University,Law(LLB),5th Year,Not Available Yet,Less than 1,81–90%,3,More than 6,7–8,3–4 hours,Never,Yes,6–8 hours,3,2,3,4,2,3,1,3,2,3,3,3,2,Deadlines,Sometimes,4,3,3,5,4,3,33,Moderate
23-25,Male,Pokhara University,BE/B.Tech,3rd Year,3.0–3.49,1–2,60–70%,2,5-6,5–6,3–4 hours,1–2 days/week,Yes,6–8 hours,3,3,2,2,3,5,3,3,2,2,3,3,4,Procrastination,Sometimes,3,4,1,3,4,4,28,Moderate
23-25,Female,Tribhuvan University,Law(LLB),5th Year,3.5–4.0,5–6,Above 90%,3,1-2,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,4,3,1,2,2,4,4,1,4,4,2,2,4,Unsure about future after graduation,Never,3,4,2,2,2,2,18,Low
23-25,Male,Tribhuvan University,Law(LLB),4th Year,2.5–2.99,1–2,71–80%,3,1-2,Less than 5,3–4 hours,Daily,Yes,6–8 hours,4,2,1,3,3,5,5,1,4,5,1,3,3,Paying semester fees while living in Kathmandu is hard,Sometimes,4,5,1,1,2,1,17,Low
23-25,Female,Tribhuvan University,BSc CSIT,2nd Year,3.0–3.49,5–6,71–80%,4,More than 6,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,3,1,5,4,5,2,2,4,1,4,4,4,2,Career,Very Often,5,2,4,4,5,2,41,High
23-25,Female,Sudurpaschim University,BCA,3rd Year,3.0–3.49,5–6,81–90%,4,3-4,7–8,3–4 hours,3–4 days/week,Yes,6–8 hours,3,3,3,4,3,2,4,4,3,3,4,4,3,Too many assignments and lab reports with the same deadline,Sometimes,4,4,4,2,3,3,34,Moderate
23-25,Male,Tribhuvan University,BCA,4th Year,2.0–2.49,Less than 1,71–80%,4,5-6,7–8,1–2 hours,1–2 days/week,Yes,3–5 hours,4,3,4,3,4,3,4,4,3,3,3,5,2,Too many assignments and lab reports with the same deadline,Sometimes,3,3,3,2,3,3,34,Moderate
23-25,Female,Tribhuvan University,BBS,4th Year,2.0–2.49,Less than 1,Below 60%,5,5-6,Less than 5,1–2 hours,3–4 days/week,Yes,6–8 hours,3,2,5,4,4,2,1,5,2,3,4,3,4,Ok,Often,2,1,4,5,4,3,41,High
17-19,Female,Tribhuvan University,BSc CSIT,1st Year,Not Available Yet,3–4,60–70%,3,5-6,7–8,1–2 hours,Never,Yes,6–8 hours,3,1,4,3,4,3,4,4,4,2,3,2,4,Frequent internal exams and practicals,Rarely,3,4,3,2,2,4,31,Moderate
20-22,Female,Kathmandu University,MBBS,1st Year,3.0–3.49,3–4,81–90%,5,5-6,7–8,1–2 hours,3–4 days/week,No,6–8 hours,5,2,4,5,5,1,2,5,2,1,5,4,2,"Exams, because the whole year's result depends on the final board exam",Often,4,3,5,4,4,5,46,High
20-22,Male,Tribhuvan University,Law(LLB),5th Year,3.5–4.0,3–4,81–90%,2,1-2,7–8,1–2 hours,3–4 days/week,Yes,6–8 hours,2,3,3,2,2,4,5,2,3,3,1,2,5,"Career, jobs are very limited in Nepal, capstone projects.",Rarely,3,4,2,1,3,3,21,Low
Above 25,Female,Other,BSc Nursing,3rd Year,3.0–3.49,5–6,81–90%,3,More than 6,7–8,3–4 hours,3–4 days/week,No,More than 8 hours,4,3,1,2,1,4,4,2,5,5,1,2,4,Study management,Rarely,3,4,2,2,1,1,15,Low
23-25,Prefer not to say,Pokhara University,MBBS,5th Year,2.5–2.99,1–2,60–70%,2,More than 6,Less than 5,5–6 hours,3–4 days/week,No,More than 8 hours,2,2,3,4,2,4,2,3,2,3,3,3,3,Tuition fees and hostel expenses,Often,4,5,2,4,4,3,31,Moderate
20-22,Male,Tribhuvan University,BCA,3rd Year,3.0–3.49,3–4,71–80%,1,3-4,7–8,5–6 hours,Daily,No,More than 8 hours,2,3,1,1,2,4,5,2,4,4,1,2,5,Lack of practical classes and resources,Never,2,4,2,1,2,2,16,Low
Above 25,Female,Tribhuvan University,BSc Nursing,2nd Year,3.0–3.49,More than 6 hours,71–80%,2,3-4,More than 8,1–2 hours,3–4 days/week,No,More than 8 hours,1,2,2,2,2,4,3,2,3,3,1,2,4,Nothing much,Rarely,3,5,2,3,3,3,22,Low
23-25,Female,Pokhara University,BIM,4th Year,3.5–4.0,5–6,Above 90%,5,More than 6,5–6,3–4 hours,Never,Yes,6–8 hours,5,3,4,4,5,1,2,4,2,3,4,3,2,"Job, multiple assignments",Sometimes,4,3,5,4,4,3,40,High
23-25,Female,Tribhuvan University,BCA,3rd Year,3.0–3.49,1–2,71–80%,3,3-4,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,5,5,3,4,4,4,3,4,3,2,2,3,3,Too many assignments and lab reports with the same deadline,Sometimes,5,3,2,3,3,4,32,Moderate
20-22,Female,Tribhuvan University,BSc CSIT,4th Year,3.0–3.49,3–4,81–90%,2,1-2,7–8,5–6 hours,3–4 days/week,Yes,6–8 hours,3,2,3,3,3,3,2,4,3,2,3,3,4,Not able to focus because of phone,Often,3,3,3,4,3,4,33,Moderate
17-19,Female,Tribhuvan University,Agriculture,1st Year,3.5–4.0,3–4,81–90%,1,1-2,5–6,5–6 hours,1–2 days/week,Yes,More than 8 hours,3,4,2,1,1,5,4,1,4,5,2,1,5,Internal assessments and assignments piling up together,Rarely,2,5,1,2,2,1,14,Low
23-25,Male,Rajarshi Janak University,BBS,2nd Year,3.0–3.49,Less than 1,71–80%,3,More than 6,5–6,3–4 hours,3–4 days/week,Yes,More than 8 hours,3,3,2,3,2,5,3,2,5,4,2,1,4,"TU exam pattern, everything depends on final exam",Sometimes,5,5,1,3,1,2,19,Low
20-22,Female,Tribhuvan University,Law(LLB),4th Year,3.0–3.49,1–2,81–90%,2,More than 6,7–8,3–4 hours,Never,No,6–8 hours,2,2,4,3,3,2,3,4,3,3,3,4,3,Outdated syllabus and theory heavy teaching,Sometimes,3,3,4,3,3,3,34,Moderate
20-22,Female,Purbanchal University,Law(LLB),2nd Year,3.0–3.49,3–4,71–80%,3,3-4,5–6,3–4 hours,Never,Yes,More than 8 hours,4,4,4,3,4,3,1,2,2,2,4,3,3,Nothing much,Often,3,4,3,5,4,4,36,Moderate
20-22,Female,Tribhuvan University,BSc CSIT,2nd Year,2.5–2.99,3–4,81–90%,3,1-2,Less than 5,1–2 hours,3–4 days/week,Yes,6–8 hours,3,5,4,4,3,2,3,3,3,4,3,4,2,Too many assignments and lab reports with the same deadline,Sometimes,4,3,4,3,3,2,33,Moderate
23-25,Female,Purbanchal University,BHM,3rd Year,2.5–2.99,1–2,81–90%,4,1-2,Less than 5,1–2 hours,Never,Yes,3–5 hours,3,3,5,5,4,2,2,5,2,3,4,5,3,Assignment ,Often,3,3,4,4,4,3,43,High
23-25,Female,Purbanchal University,Agriculture,3rd Year,2.5–2.99,5–6,71–80%,5,More than 6,5–6,3–4 hours,1–2 days/week,No,6–8 hours,5,2,5,5,5,2,2,5,2,1,5,5,1,Frustration ,Often,3,3,4,4,4,5,47,High
23-25,Female,Tribhuvan University,BHM,3rd Year,3.5–4.0,1–2,71–80%,4,More than 6,5–6,1–2 hours,3–4 days/week,Yes,6–8 hours,4,4,3,2,3,3,4,4,3,3,3,3,3,"Career, jobs are very limited in Nepal",Sometimes,4,5,3,2,3,3,29,Moderate
17-19,Female,Other,BDS,2nd Year,3.5–4.0,5–6,Above 90%,2,5-6,More than 8,Less than 1 hour,1–2 days/week,No,6–8 hours,3,3,2,2,2,5,4,2,4,3,3,2,4,Unsure about future after graduation,Never,4,5,1,2,2,3,21,Low
23-25,Female,Tribhuvan University,BCA,3rd Year,3.0–3.49,3–4,71–80%,5,More than 6,Less than 5,3–4 hours,1–2 days/week,Yes,6–8 hours,5,2,4,4,4,2,3,4,1,2,4,3,3,Job market is competitive and many seniors are still unemployed,Often,4,3,4,3,5,4,39,High
20-22,Female,Kathmandu University,MBBS,2nd Year,3.5–4.0,More than 6 hours,81–90%,1,5-6,7–8,5–6 hours,5–6 days/week,No,More than 8 hours,1,4,1,2,2,5,4,2,4,4,1,2,4,Exam routine keeps changing and results come very late,Sometimes,3,5,1,2,2,2,17,Low
23-25,Female,Tribhuvan University,BBS,4th Year,3.0–3.49,1–2,81–90%,1,5-6,5–6,Less than 1 hour,3–4 days/week,Yes,Less than 3 hours,2,3,3,2,2,3,4,1,3,5,2,2,4,Deadlines,Sometimes,4,4,3,2,3,1,21,Low
23-25,Male,Agriculture and Forestry University,Agriculture,2nd Year,3.5–4.0,5–6,60–70%,3,5-6,5–6,5–6 hours,5–6 days/week,No,More than 8 hours,3,2,4,4,3,4,4,3,2,3,4,3,4,Balancing money and education,Often,4,3,2,2,4,3,32,Moderate
20-22,Male,Purbanchal University,BCA,4th Year,Below 2.0,Less than 1,71–80%,5,More than 6,Less than 5,More than 6 hours,Never,No,More than 8 hours,4,2,5,5,4,1,2,4,2,2,4,4,2,Board exams,Sometimes,4,1,5,4,4,4,43,High
23-25,Female,Sudurpaschim University,BSc CSIT,4th Year,2.5–2.99,3–4,71–80%,2,More than 6,7–8,3–4 hours,3–4 days/week,Yes,3–5 hours,2,3,1,2,1,5,4,1,5,4,1,1,5,Board exams,Never,3,3,1,2,1,2,13,Low
20-22,Female,Tribhuvan University,BCA,2nd Year,3.0–3.49,5–6,81–90%,4,5-6,5–6,3–4 hours,Never,Yes,6–8 hours,2,3,5,4,5,3,2,4,4,2,3,4,3,Project submission deadlines clashing with exams,Sometimes,2,3,3,4,2,4,38,High
23-25,Female,Tribhuvan University,BBS,4th Year,3.5–4.0,3–4,60–70%,2,3-4,5–6,1–2 hours,1–2 days/week,Yes,6–8 hours,1,5,2,2,3,2,5,1,4,4,2,3,3,Multiple assignments ,Rarely,3,5,4,1,2,2,22,Low
23-25,Male,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,3–4,60–70%,2,1-2,5–6,Less than 1 hour,3–4 days/week,Yes,6–8 hours,2,3,1,3,1,3,5,1,3,5,1,2,4,"Exams, because the whole year's result depends on the final board exam, family expectations to get good grades",Rarely,3,3,3,1,3,1,17,Low
Above 25,Prefer not to say,Purbanchal University,Agriculture,3rd Year,3.0–3.49,3–4,71–80%,2,5-6,5–6,5–6 hours,1–2 days/week,No,More than 8 hours,3,5,3,3,2,3,4,3,3,2,2,3,3,Internal assessments and assignments piling up together,Sometimes,3,3,3,2,3,4,28,Moderate
20-22,Female,Other,BSc Nursing,2nd Year,3.0–3.49,1–2,71–80%,5,3-4,Less than 5,1–2 hours,1–2 days/week,No,Less than 3 hours,4,5,5,4,4,2,1,5,2,5,3,5,3,Deadlines,Often,3,4,4,5,4,1,40,High
Above 25,Male,Kathmandu University,MBBS,5th Year,Not Available Yet,Less than 1,Above 90%,1,3-4,Less than 5,Less than 1 hour,3–4 days/week,Yes,3–5 hours,2,5,2,3,2,5,3,3,4,4,2,2,4,Future career concerns because I am unsure about job opportunities,Sometimes,4,3,1,3,2,2,22,Low
20-22,Female,Pokhara University,BCA,2nd Year,3.5–4.0,3–4,81–90%,3,More than 6,7–8,3–4 hours,Never,No,6–8 hours,2,3,2,2,2,4,2,2,4,5,2,1,3,Multiple assignments ,Rarely,2,5,2,4,2,1,20,Low
17-19,Female,Other,BDS,2nd Year,3.0–3.49,3–4,71–80%,4,5-6,Less than 5,5–6 hours,5–6 days/week,No,6–8 hours,4,1,4,5,5,1,2,5,2,2,5,4,2,Deadlines,Very Often,4,3,5,4,4,4,45,High
Above 25,Male,Agriculture and Forestry University,Agriculture,4th Year,3.0–3.49,More than 6 hours,Above 90%,3,5-6,7–8,5–6 hours,3–4 days/week,Yes,More than 8 hours,4,4,4,4,3,3,3,3,4,3,4,3,3,Sometimes,Rarely,3,5,3,3,2,3,32,Moderate
17-19,Female,Rajarshi Janak University,BCA,4th Year,2.0–2.49,Less than 1,Below 60%,5,3-4,Less than 5,1–2 hours,Never,Yes,Less than 3 hours,4,2,5,4,5,1,2,4,1,1,5,4,2,Deadlines,Often,5,3,5,4,5,5,46,High
17-19,Female,Agriculture and Forestry University,Agriculture,1st Year,3.5–4.0,1–2,71–80%,2,More than 6,5–6,1–2 hours,Never,Yes,3–5 hours,2,4,2,1,2,4,3,2,4,4,1,2,5,Financial pressure ,Never,3,5,2,3,2,2,19,Low
23-25,Male,Tribhuvan University,MBBS,3rd Year,2.0–2.49,1–2,71–80%,4,More than 6,5–6,3–4 hours,Never,Yes,6–8 hours,4,3,4,5,4,3,2,5,2,4,4,3,3,Job ,Sometimes,3,3,3,4,4,2,38,High
23-25,Female,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,1–2,60–70%,3,5-6,5–6,3–4 hours,3–4 days/week,Yes,3–5 hours,4,5,5,4,5,1,2,4,2,2,5,4,3,Financial ,Often,3,3,5,4,4,4,44,High
23-25,Female,Other,BSc Nursing,4th Year,3.5–4.0,5–6,81–90%,1,3-4,7–8,More than 6 hours,1–2 days/week,No,More than 8 hours,1,3,2,2,1,3,5,1,3,4,2,2,3,Procrastination,Sometimes,4,4,3,1,3,2,19,Low
17-19,Female,Sudurpaschim University,BSc CSIT,2nd Year,2.5–2.99,1–2,60–70%,5,5-6,7–8,5–6 hours,1–2 days/week,No,More than 8 hours,4,2,5,5,4,2,1,4,2,2,5,4,2,"Career, jobs are very limited in Nepal",Very Often,5,4,4,5,4,4,44,High
20-22,Female,Tribhuvan University,Agriculture,3rd Year,3.5–4.0,5–6,71–80%,2,3-4,7–8,1–2 hours,3–4 days/week,No,6–8 hours,3,5,2,1,1,4,5,3,3,4,2,1,3,Multiple assignments ,Rarely,3,5,2,1,3,2,18,Low
20-22,Female,Rajarshi Janak University,BCA,1st Year,Not Available Yet,Less than 1,71–80%,3,1-2,7–8,3–4 hours,3–4 days/week,No,6–8 hours,2,3,3,4,3,3,3,3,4,4,2,3,4,"Pressure to become a doctor/engineer like my family expects, assignments because multiple deadlines occur at the same time",Never,4,3,3,3,2,2,28,Moderate
Above 25,Male,Kathmandu University,BE/B.Tech,2nd Year,2.5–2.99,Less than 1,71–80%,3,More than 6,5–6,1–2 hours,3–4 days/week,No,3–5 hours,2,3,3,3,3,4,3,3,3,3,4,3,3,Board exams,Rarely,3,3,2,3,3,3,30,Moderate
Above 25,Male,Purbanchal University,BCA,2nd Year,3.5–4.0,3–4,81–90%,3,1-2,7–8,5–6 hours,3–4 days/week,No,More than 8 hours,2,5,1,2,1,4,3,2,4,4,2,2,5,Assignments because multiple deadlines occur at the same time,Never,3,5,2,3,2,2,19,Low
20-22,Female,Other,BSc Nursing,3rd Year,3.5–4.0,Less than 1,71–80%,4,5-6,More than 8,Less than 1 hour,1–2 days/week,No,3–5 hours,2,1,3,2,3,3,5,2,4,4,2,2,4,Board exams,Sometimes,1,4,3,1,2,2,22,Low
17-19,Female,Tribhuvan University,BCA,3rd Year,3.5–4.0,3–4,81–90%,3,5-6,5–6,3–4 hours,Never,No,More than 8 hours,3,4,5,3,4,2,2,5,3,2,4,5,3,Assignments because multiple deadlines occur at the same time,Rarely,3,5,4,4,3,4,41,High
17-19,Female,Tribhuvan University,BCA,1st Year,Not Available Yet,3–4,81–90%,3,5-6,5–6,1–2 hours,Never,Yes,3–5 hours,5,2,3,3,4,3,3,4,4,5,4,3,3,Family pressure,Often,3,4,3,3,2,1,30,Moderate
17-19,Female,Pokhara University,MBBS,2nd Year,2.5–2.99,5–6,81–90%,4,3-4,5–6,3–4 hours,Never,No,More than 8 hours,4,3,2,3,3,4,2,3,3,4,2,3,1,"Pressure to go abroad after graduation, internal assessments and assignments piling up together",Sometimes,4,2,2,4,3,2,27,Moderate
23-25,Female,Pokhara University,BSc Nursing,4th Year,3.0–3.49,1–2,71–80%,2,3-4,More than 8,3–4 hours,3–4 days/week,No,3–5 hours,1,4,3,2,2,4,4,1,5,5,3,2,4,Semester project with weak team members,Never,3,4,2,2,1,1,19,Low
20-22,Male,Tribhuvan University,BSc CSIT,4th Year,2.5–2.99,Less than 1,60–70%,4,3-4,Less than 5,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,1,4,4,4,1,2,4,2,2,5,4,4,"Office hours clash with college time, too many assignments and lab reports with the same deadline",Very Often,5,4,5,4,4,4,42,High
23-25,Prefer not to say,Kathmandu University,BDS,5th Year,2.5–2.99,3–4,71–80%,3,More than 6,7–8,5–6 hours,1–2 days/week,No,6–8 hours,4,1,3,3,3,2,2,4,3,2,5,4,1,"TU exam pattern, everything depends on final exam",Sometimes,3,3,4,4,3,4,37,High
20-22,Prefer not to say,Tribhuvan University,BBS,3rd Year,2.5–2.99,1–2,60–70%,4,3-4,More than 8,3–4 hours,3–4 days/week,Yes,3–5 hours,3,2,4,4,3,2,3,2,2,2,3,4,2,Yes,Sometimes,2,4,4,3,4,4,35,Moderate
23-25,Male,Tribhuvan University,BCA,4th Year,3.5–4.0,1–2,71–80%,2,3-4,Less than 5,1–2 hours,3–4 days/week,Yes,3–5 hours,2,3,2,1,1,4,4,1,4,4,1,1,3,Not able to focus because of phone,Rarely,3,5,2,2,2,2,15,Low
23-25,Male,Sudurpaschim University,BCA,4th Year,3.5–4.0,1–2,81–90%,2,3-4,7–8,Less than 1 hour,Never,No,Less than 3 hours,3,3,4,2,3,2,3,2,3,4,2,3,2,Internal assessments and assignments piling up together,Rarely,3,4,4,3,3,2,28,Moderate
20-22,Male,Kathmandu University,BDS,5th Year,3.0–3.49,5–6,60–70%,4,More than 6,Less than 5,3–4 hours,1–2 days/week,No,6–8 hours,5,1,5,5,4,1,1,5,1,2,5,5,2,Study management,Very Often,5,3,5,5,5,4,48,High
17-19,Male,Kathmandu University,MBBS,1st Year,Not Available Yet,3–4,71–80%,2,5-6,5–6,3–4 hours,5–6 days/week,No,6–8 hours,2,4,2,3,2,3,4,4,5,4,1,3,3,"Project submission deadlines clashing with exams, future",Never,3,3,3,2,1,2,23,Low
17-19,Female,Kathmandu University,BE/B.Tech,1st Year,3.0–3.49,3–4,71–80%,4,3-4,7–8,3–4 hours,3–4 days/week,No,3–5 hours,2,2,4,4,4,3,3,3,3,4,4,3,3,Multiple assignments ,Very Often,2,4,3,3,3,2,33,Moderate
20-22,Female,Tribhuvan University,BCA,4th Year,3.0–3.49,5–6,71–80%,2,3-4,7–8,1–2 hours,1–2 days/week,Yes,3–5 hours,3,4,2,2,2,4,5,3,3,4,2,1,4,Strict attendance requirement,Never,3,4,2,1,3,2,20,Low
23-25,Female,Tribhuvan University,BSc Nursing,3rd Year,3.0–3.49,Less than 1,60–70%,3,3-4,5–6,5–6 hours,3–4 days/week,No,6–8 hours,3,3,2,3,4,2,2,2,2,3,3,3,3,Frustration ,Often,4,4,4,4,4,3,32,Moderate
23-25,Female,Tribhuvan University,BCA,4th Year,3.0–3.49,3–4,60–70%,2,3-4,7–8,1–2 hours,Daily,Yes,6–8 hours,2,4,1,1,2,4,4,2,3,4,2,3,3,Thesis and internship report,Never,3,5,2,2,3,2,20,Low
17-19,Female,Kathmandu University,BSc Nursing,1st Year,3.5–4.0,More than 6 hours,81–90%,3,5-6,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,3,4,3,4,2,4,3,2,4,3,3,2,4,Office hours clash with college time,Sometimes,4,4,2,3,2,3,26,Moderate
20-22,Female,Pokhara University,BCA,3rd Year,3.5–4.0,1–2,71–80%,3,3-4,7–8,5–6 hours,1–2 days/week,Yes,More than 8 hours,4,3,4,3,5,3,2,4,2,3,5,4,2,"Balancing part-time job and classes, I don't get enough time to study",Sometimes,3,4,3,4,4,3,39,High
20-22,Female,Tribhuvan University,BCA,4th Year,3.0–3.49,3–4,71–80%,4,1-2,5–6,1–2 hours,1–2 days/week,Yes,3–5 hours,3,3,3,3,3,3,4,2,3,4,2,4,3,Job ,Often,4,4,3,2,3,2,27,Moderate
20-22,Female,Sudurpaschim University,BSc CSIT,4th Year,2.5–2.99,1–2,Below 60%,3,3-4,Less than 5,5–6 hours,1–2 days/week,Yes,6–8 hours,3,3,5,2,3,3,2,3,2,2,5,4,2,Future ,Often,4,3,3,4,4,4,37,High
23-25,Female,Sudurpaschim University,BSc CSIT,3rd Year,2.5–2.99,3–4,60–70%,4,3-4,5–6,3–4 hours,1–2 days/week,Yes,More than 8 hours,3,4,5,3,4,3,2,4,2,2,4,4,2,Family pressure,Very Often,4,4,3,4,4,4,39,High
20-22,Male,Sudurpaschim University,BBS,1st Year,3.5–4.0,3–4,Above 90%,1,More than 6,7–8,3–4 hours,5–6 days/week,Yes,6–8 hours,4,5,1,1,3,4,4,2,4,4,3,2,4,Too many assignments and lab reports with the same deadline,Rarely,3,4,2,2,2,2,20,Low
Above 25,Prefer not to say,Tribhuvan University,BBS,4th Year,3.5–4.0,3–4,Above 90%,1,More than 6,7–8,1–2 hours,3–4 days/week,No,3–5 hours,2,5,2,1,1,5,5,1,4,4,1,2,4,Family expectations to get good grades,Sometimes,2,4,1,1,2,2,14,Low
23-25,Male,Kathmandu University,BSc Nursing,3rd Year,2.5–2.99,3–4,Below 60%,3,More than 6,Less than 5,1–2 hours,1–2 days/week,Yes,More than 8 hours,3,2,3,5,3,3,3,3,4,4,3,2,3,Financial ,Sometimes,2,5,3,3,2,2,29,Moderate
Above 25,Male,Sudurpaschim University,BSc CSIT,4th Year,2.5–2.99,Less than 1,Below 60%,3,5-6,7–8,Less than 1 hour,Never,Yes,3–5 hours,4,3,3,4,4,4,3,3,2,2,3,2,4,"Career, jobs are very limited in Nepal",Often,3,3,2,3,4,4,32,Moderate
20-22,Female,Tribhuvan University,BSc CSIT,3rd Year,2.5–2.99,Less than 1,60–70%,3,1-2,7–8,1–2 hours,1–2 days/week,Yes,6–8 hours,4,2,5,4,4,1,1,4,2,2,4,5,3,Paying semester fees while living in Kathmandu is hard,Often,3,3,5,5,4,4,44,High
20-22,Female,Purbanchal University,BCA,2nd Year,3.0–3.49,1–2,81–90%,2,More than 6,7–8,1–2 hours,1–2 days/week,Yes,6–8 hours,3,2,2,3,4,3,4,2,3,4,3,3,3,Future career concerns because I am unsure about job opportunities,Very Often,4,4,3,2,3,2,27,Moderate
23-25,Female,Agriculture and Forestry University,Agriculture,3rd Year,Below 2.0,Less than 1,60–70%,4,3-4,5–6,3–4 hours,1–2 days/week,Yes,6–8 hours,4,2,4,3,4,1,1,3,1,2,5,4,1,Financial ,Very Often,4,2,5,5,5,4,42,High
Above 25,Male,Tribhuvan University,BSc CSIT,3rd Year,3.5–4.0,5–6,71–80%,2,1-2,7–8,Less than 1 hour,1–2 days/week,Yes,Less than 3 hours,4,3,2,2,3,3,4,2,3,3,3,3,3,Job market is competitive and many seniors are still unemployed,Rarely,5,5,3,2,3,3,26,Moderate
23-25,Female,Tribhuvan University,BSc Nursing,3rd Year,Not Available Yet,3–4,81–90%,2,1-2,5–6,Less than 1 hour,5–6 days/week,No,6–8 hours,1,3,1,1,1,5,4,1,3,5,2,1,4,Assignments because multiple deadlines occur at the same time,Rarely,2,5,1,2,3,1,14,Low
23-25,Male,Agriculture and Forestry University,Agriculture,3rd Year,2.5–2.99,1–2,Below 60%,4,1-2,5–6,1–2 hours,5–6 days/week,Yes,6–8 hours,3,3,3,4,4,4,1,2,4,3,2,2,4,Future career,Rarely,3,3,2,5,2,3,29,Moderate
23-25,Female,Tribhuvan University,BSc CSIT,4th Year,3.5–4.0,3–4,60–70%,1,More than 6,7–8,1–2 hours,5–6 days/week,Yes,3–5 hours,2,3,1,1,1,5,5,2,4,4,2,1,4,Thesis and internship report,Rarely,2,4,1,1,2,2,14,Low
17-19,Male,Other,BDS,1st Year,2.5–2.99,3–4,81–90%,4,1-2,7–8,5–6 hours,1–2 days/week,No,6–8 hours,5,3,4,5,5,2,2,4,3,2,4,5,2,Internal assessments and assignments piling up together,Often,5,4,4,4,3,4,42,High
17-19,Male,Agriculture and Forestry University,Agriculture,1st Year,3.5–4.0,3–4,81–90%,4,1-2,5–6,3–4 hours,Never,No,3–5 hours,5,1,4,4,4,2,2,5,1,2,5,5,2,Board exams,Very Often,3,4,4,4,5,4,44,High
23-25,Male,Tribhuvan University,BIM,3rd Year,2.5–2.99,1–2,Below 60%,5,5-6,5–6,Less than 1 hour,Never,No,3–5 hours,4,3,5,5,5,1,1,5,1,2,5,5,1,"Financial, job market is competitive and many seniors are still unemployed",Very Often,5,2,5,5,5,4,49,High
23-25,Female,Tribhuvan University,BSc Nursing,4th Year,3.5–4.0,3–4,71–80%,2,More than 6,7–8,Less than 1 hour,1–2 days/week,No,3–5 hours,1,4,1,1,2,5,5,1,5,5,3,2,5,Internal assessments and assignments piling up together,Rarely,2,5,1,1,1,1,14,Low
23-25,Male,Tribhuvan University,BCA,4th Year,3.5–4.0,3–4,60–70%,1,1-2,5–6,1–2 hours,Never,Yes,6–8 hours,2,4,2,2,1,3,3,3,4,5,1,2,3,Job ,Rarely,2,5,3,3,2,1,20,Low
17-19,Female,Pokhara University,BCA,1st Year,3.0–3.49,1–2,81–90%,4,3-4,5–6,5–6 hours,3–4 days/week,Yes,More than 8 hours,4,2,5,5,5,2,2,4,2,2,4,4,2,Stress,Sometimes,4,4,4,4,4,4,43,High
23-25,Male,Tribhuvan University,BCA,4th Year,3.0–3.49,1–2,71–80%,5,3-4,7–8,1–2 hours,5–6 days/week,No,3–5 hours,5,3,5,3,3,2,4,4,3,3,3,4,5,Multiple assignments ,Often,3,2,4,2,3,3,34,Moderate
17-19,Female,Agriculture and Forestry University,Agriculture,1st Year,Below 2.0,1–2,60–70%,3,1-2,7–8,5–6 hours,1–2 days/week,No,More than 8 hours,4,2,3,4,4,2,2,4,1,2,4,4,2,"Multiple assignments, balancing money and education",Often,3,1,4,4,5,4,40,High
